Client_ID,Client_Name,Industry,Country,City,Contract_Start_Date,Contract_End_Date,SLA_Hours,Support_Tier,Active_Projects,Revenue_USD,Account_Manager,Customer_Satisfaction,Priority_Level,Status
CL001,Harrison-Mitchell,E-commerce,Australia,South Adam,2024-12-07,2030-01-28,24,Platinum,7,1951233,EMP229,3.51,High,Active
CL002,Reid Inc,Education,Germany,Kevinmouth,2024-03-09,2031-04-12,24,Gold,6,1240767,EMP488,4.62,High,Active
CL003,"Collins, Mccormick and Huber",Banking,Germany,Andrewberg,2024-09-30,2029-11-09,12,Bronze,10,279590,EMP238,4.19,High,Active
CL004,Marshall PLC,Education,Canada,Triciaport,2022-12-19,2028-08-15,48,Bronze,2,2967394,EMP254,4.13,Medium,Active
CL005,Bailey Group,Education,Japan,New Kelly,2021-09-11,2031-05-23,8,Gold,1,4440368,EMP192,3.85,Medium,Active
CL006,Mills and Sons,E-commerce,Canada,Mooreport,2022-10-14,2028-10-15,48,Bronze,2,1427879,EMP359,4.22,Low,Inactive
CL007,Lyons Ltd,IT Services,UAE,South Meganfort,2021-07-29,2030-09-20,48,Gold,2,3860662,EMP427,4.42,Critical,Active
CL008,"Flynn, Gibson and Austin",IT Services,United Kingdom,Penaberg,2024-05-07,2031-02-13,48,Silver,6,327048,EMP277,3.56,Critical,Active
CL009,Johnson-Williams,Manufacturing,UAE,Munozfort,2023-07-25,2031-04-14,24,Gold,2,831213,EMP278,3.68,Low,Inactive
CL010,"Rios, Montoya and Perez",Hospitality,India,Lake Christopherville,2022-06-29,2028-06-29,8,Gold,7,1334966,EMP461,4.46,High,Active
CL011,Sellers Inc,Manufacturing,United Kingdom,Port Kathyberg,2025-02-12,2029-12-27,72,Gold,4,1023854,EMP054,4.46,High,Inactive
CL012,Thompson Inc,Telecommunications,Singapore,New John,2021-12-25,2029-09-22,48,Gold,8,3915080,EMP134,3.56,Low,Active
CL013,Price-Johnson,IT Services,Singapore,Stephensonmouth,2023-05-13,2026-09-19,72,Bronze,7,916467,EMP416,3.82,Critical,Active
CL014,Mann Group,E-commerce,Canada,Sarahaven,2023-01-21,2030-07-31,48,Gold,3,3402907,EMP122,3.69,Medium,Inactive
CL015,Perry Inc,Telecommunications,Singapore,Darrellchester,2022-01-31,2028-07-08,12,Silver,6,4211378,EMP423,3.76,Critical,Active
CL016,Andrade Group,E-commerce,Singapore,Masonfurt,2022-04-04,2029-11-09,24,Gold,10,2524284,EMP499,3.69,Low,Active
CL017,Valencia and Sons,Logistics,UAE,Bradfordfort,2022-09-27,2027-12-30,48,Silver,4,4994912,EMP227,4.25,Critical,Active
CL018,Abbott LLC,Banking,United States,Allenfort,2022-05-10,2028-09-24,48,Bronze,2,4214844,EMP373,4.63,High,Active
