Employee_ID,Department,Skill,Skill_Level,Experience_Years,Certification
EMP001,Security,Encryption,Expert,11,Yes
EMP001,Security,Azure Security,Beginner,8,No
EMP001,Security,Firewall,Intermediate,2,Yes
EMP001,Security,IAM,Expert,8,Yes
EMP001,Security,SOC,Beginner,9,Yes
EMP001,Security,SIEM,Beginner,1,Yes
EMP002,DevOps,Ansible,Intermediate,9,Yes
EMP002,DevOps,Jenkins,Advanced,8,Yes
EMP002,DevOps,Terraform,Beginner,8,No
EMP003,Cloud,Networking,Advanced,1,Yes
EMP003,Cloud,GCP,Beginner,7,Yes
EMP003,Cloud,AWS,Advanced,7,Yes
EMP004,Backend,Django,Expert,7,No
EMP004,Backend,Java,Expert,2,Yes
EMP004,Backend,Python,Advanced,6,Yes
EMP005,Data Engineering,PySpark,Beginner,1,Yes
EMP005,Data Engineering,Databricks,Expert,8,Yes
EMP005,Data Engineering,Airflow,Intermediate,8,Yes
EMP005,Data Engineering,SQL,Intermediate,7,No
EMP005,Data Engineering,Snowflake,Beginner,7,No
EMP006,DevOps,Linux,Advanced,1,Yes
EMP006,DevOps,Azure DevOps,Intermediate,7,Yes
EMP006,DevOps,Ansible,Beginner,3,Yes
EMP007,Security,OWASP,Expert,2,Yes
EMP007,Security,Firewall,Beginner,4,Yes
EMP007,Security,Azure Security,Beginner,10,No
EMP007,Security,SIEM,Advanced,10,No
EMP007,Security,SOC,Intermediate,10,No
EMP008,Support,Office365,Advanced,4,Yes
EMP008,Support,ServiceNow,Intermediate,3,Yes
EMP008,Support,Active Directory,Expert,8,Yes
EMP008,Support,Networking,Expert,1,Yes
EMP009,Frontend,HTML,Expert,5,No
EMP009,Frontend,Angular,Expert,5,Yes
EMP009,Frontend,CSS,Beginner,3,Yes
EMP010,Security,Azure Security,Beginner,2,No
EMP010,Security,IAM,Expert,8,Yes
EMP010,Security,Firewall,Beginner,1,Yes
EMP011,Data Engineering,Azure Data Factory,Advanced,11,Yes
EMP011,Data Engineering,PySpark,Beginner,1,No
EMP011,Data Engineering,Airflow,Advanced,12,No
EMP011,Data Engineering,SQL,Beginner,1,Yes
EMP011,Data Engineering,Databricks,Expert,2,No
EMP012,AI/ML,TensorFlow,Advanced,12,Yes
EMP012,AI/ML,Python,Intermediate,6,No
EMP012,AI/ML,Scikit-learn,Beginner,11,No
EMP012,AI/ML,NLP,Beginner,7,Yes
EMP013,Security,Firewall,Beginner,10,Yes
