Comment_ID,Task_ID,Employee_ID,Comment_Text,Comment_Type,Visibility,Created_DateTime,Edited,Sentiment,Likes
CMT000001,TASK-14244,EMP149,Testing completed successfully.,Customer Reply,Internal,2025-01-14 23:22:39,Yes,Positive,10
CMT000002,TASK-13070,EMP067,Fix developed and submitted for code review.,Testing,Internal,2025-11-22 08:10:45,No,Positive,6
CMT000003,TASK-12070,EMP429,Monitoring the application after deployment.,Update,Public,2025-11-21 11:33:38,Yes,Positive,4
CMT000004,TASK-17391,EMP382,Database migration completed.,Investigation,Public,2026-03-22 04:43:08,No,Positive,7
CMT000005,TASK-19007,EMP289,Database migration completed.,Customer Reply,Public,2024-11-22 10:35:31,No,Negative,5
CMT000006,TASK-11923,EMP178,Monitoring the application after deployment.,Customer Reply,Public,2024-12-25 04:36:28,No,Negative,9
CMT000007,TASK-12210,EMP226,API response time has improved.,Testing,Internal,2024-10-25 06:30:07,No,Positive,2
CMT000008,TASK-18564,EMP183,Unable to reproduce the reported issue.,Review,Public,2024-12-21 06:00:48,No,Negative,4
CMT000009,TASK-16485,EMP456,Changes deployed to the development environment.,Testing,Public,2025-12-27 23:06:52,Yes,Negative,3
CMT000010,TASK-13187,EMP360,Customer confirmed the fix.,Investigation,Internal,2024-10-12 21:23:49,No,Negative,10
CMT000011,TASK-17597,EMP200,Investigating the issue reported by the customer.,Customer Reply,Public,2025-08-01 21:19:12,Yes,Positive,2
CMT000012,TASK-18160,EMP413,API response time has improved.,Customer Reply,Public,2024-12-13 00:41:20,Yes,Negative,6
CMT000013,TASK-14117,EMP454,Customer confirmed the fix.,Investigation,Public,2025-02-10 00:20:44,Yes,Negative,9
CMT000014,TASK-13894,EMP371,Security validation completed.,Investigation,Internal,2025-05-21 00:49:26,Yes,Neutral,9
CMT000015,TASK-19338,EMP175,Testing completed successfully.,Review,Internal,2026-03-13 15:57:24,Yes,Negative,8
CMT000016,TASK-11840,EMP462,Issue reproduced successfully.,Investigation,Internal,2025-09-27 04:46:45,No,Negative,9
CMT000017,TASK-19113,EMP414,Dependency updated successfully.,Customer Reply,Internal,2024-07-20 07:35:12,No,Neutral,10
CMT000018,TASK-11519,EMP270,Investigating the issue reported by the customer.,Investigation,Public,2025-01-27 06:24:15,Yes,Neutral,4
CMT000019,TASK-14407,EMP290,Monitoring the application after deployment.,Customer Reply,Internal,2024-10-24 22:37:11,No,Negative,5
CMT000020,TASK-10587,EMP003,Production deployment scheduled.,Review,Internal,2026-04-07 05:30:38,No,Negative,8
CMT000021,TASK-18466,EMP423,Security validation completed.,Investigation,Internal,2026-02-21 06:31:52,No,Positive,6
CMT000022,TASK-18215,EMP366,Testing completed successfully.,Customer Reply,Internal,2026-02-18 13:47:28,No,Neutral,10
CMT000023,TASK-13526,EMP133,Database migration completed.,Testing,Internal,2026-03-05 10:00:19,No,Positive,9
CMT000024,TASK-14709,EMP220,Waiting for QA validation.,Customer Reply,Public,2026-01-04 19:10:01,No,Positive,5
CMT000025,TASK-16515,EMP236,Fix developed and submitted for code review.,Update,Internal,2026-06-03 05:38:50,Yes,Negative,4
CMT000026,TASK-13120,EMP231,Security validation completed.,Testing,Public,2026-02-09 14:34:09,No,Positive,4
CMT000027,TASK-18652,EMP223,Changes deployed to the development environment.,Investigation,Internal,2025-01-13 07:02:45,Yes,Neutral,2
CMT000028,TASK-13577,EMP158,Deployment completed in UAT.,Testing,Public,2026-03-22 15:17:16,No,Positive,5
CMT000029,TASK-12102,EMP052,Customer confirmed the fix.,Deployment,Public,2025-06-30 08:39:16,No,Positive,5
CMT000030,TASK-18767,EMP152,Changes deployed to the development environment.,Update,Public,2026-01-12 06:55:48,Yes,Negative,2
CMT000031,TASK-10081,EMP459,Issue reproduced successfully.,Customer Reply,Internal,2025-08-25 20:46:19,Yes,Neutral,5
CMT000032,TASK-11153,EMP177,Unable to reproduce the reported issue.,Investigation,Internal,2025-05-19 13:42:50,Yes,Negative,3
CMT000033,TASK-18518,EMP403,API response time has improved.,Investigation,Public,2025-04-01 19:35:26,Yes,Negative,0
CMT000034,TASK-11891,EMP315,Changes deployed to the development environment.,Testing,Public,2025-05-19 18:00:09,No,Neutral,2
CMT000035,TASK-18938,EMP153,Unable to reproduce the reported issue.,Update,Public,2025-02-23 23:16:43,Yes,Positive,2
CMT000036,TASK-10256,EMP055,Performance optimization implemented.,Customer Reply,Public,2024-10-03 12:03:54,Yes,Neutral,10
CMT000037,TASK-16953,EMP083,Monitoring the application after deployment.,Customer Reply,Public,2026-02-28 12:09:50,Yes,Positive,1
CMT000038,TASK-15054,EMP208,Additional logs have been attached.,Deployment,Public,2026-02-12 21:15:08,No,Positive,2
CMT000039,TASK-17376,EMP155,Investigating the issue reported by the customer.,Testing,Internal,2026-06-29 19:03:15,No,Neutral,5
CMT000040,TASK-13709,EMP480,Issue reproduced successfully.,Review,Public,2025-11-26 11:29:21,Yes,Neutral,6
CMT000041,TASK-14284,EMP080,API response time has improved.,Testing,Public,2025-08-18 14:59:43,Yes,Neutral,7
CMT000042,TASK-13125,EMP015,Task blocked due to external dependency.,Update,Public,2026-01-07 11:21:21,Yes,Positive,1
CMT000043,TASK-10091,EMP302,Changes deployed to the development environment.,Review,Internal,2024-10-16 06:45:23,No,Negative,8
CMT000044,TASK-10908,EMP110,Database migration completed.,Update,Internal,2025-11-16 04:16:32,Yes,Neutral,9
CMT000045,TASK-12519,EMP333,Root cause identified and under analysis.,Customer Reply,Public,2025-05-29 16:02:24,No,Positive,7
CMT000046,TASK-10353,EMP312,Code review completed successfully.,Investigation,Public,2024-11-15 19:13:23,Yes,Negative,7
CMT000047,TASK-15570,EMP335,Issue reproduced successfully.,Testing,Internal,2024-12-04 18:55:04,No,Positive,8
CMT000048,TASK-10209,EMP052,Customer confirmed the fix.,Investigation,Public,2025-07-26 14:10:23,No,Positive,10
CMT000049,TASK-15649,EMP370,Issue reproduced successfully.,Customer Reply,Public,2025-01-10 19:30:18,Yes,Neutral,2
CMT000050,TASK-12054,EMP372,Testing completed successfully.,Testing,Internal,2025-06-10 09:34:48,Yes,Negative,10
CMT000051,TASK-12322,EMP313,Performance optimization implemented.,Update,Public,2025-09-25 01:52:44,No,Neutral,9
CMT000052,TASK-19357,EMP256,Task blocked due to external dependency.,Testing,Public,2025-04-24 20:47:35,Yes,Neutral,8
CMT000053,TASK-14596,EMP174,Additional logs have been attached.,Customer Reply,Internal,2024-10-13 07:21:14,Yes,Negative,5
CMT000054,TASK-16149,EMP297,Fix developed and submitted for code review.,Deployment,Public,2025-07-03 08:02:12,No,Positive,7
CMT000055,TASK-16383,EMP211,Security validation completed.,Testing,Internal,2024-12-28 18:18:31,Yes,Neutral,3
CMT000056,TASK-10053,EMP075,Dependency updated successfully.,Review,Public,2024-12-28 22:21:51,Yes,Neutral,8
CMT000057,TASK-14827,EMP006,Waiting for QA validation.,Customer Reply,Internal,2024-11-28 19:54:04,Yes,Negative,2
CMT000058,TASK-11097,EMP284,Additional logs have been attached.,Customer Reply,Internal,2025-04-03 10:48:48,No,Positive,0
CMT000059,TASK-12622,EMP358,Testing completed successfully.,Update,Internal,2024-09-01 07:12:02,Yes,Neutral,9
CMT000060,TASK-12920,EMP338,Database migration completed.,Customer Reply,Internal,2025-10-28 11:38:52,No,Negative,2
CMT000061,TASK-11825,EMP028,Customer confirmed the fix.,Testing,Internal,2026-06-06 09:46:49,Yes,Positive,6
CMT000062,TASK-14995,EMP216,Deployment completed in UAT.,Investigation,Public,2025-04-20 10:24:04,No,Negative,8
CMT000063,TASK-16844,EMP465,Deployment completed in UAT.,Review,Internal,2025-12-16 21:39:32,Yes,Negative,1
CMT000064,TASK-12633,EMP025,Code review completed successfully.,Review,Internal,2026-05-22 07:05:03,Yes,Negative,4
CMT000065,TASK-11642,EMP053,Security validation completed.,Deployment,Internal,2024-08-10 08:04:35,Yes,Negative,9
CMT000066,TASK-18931,EMP216,Changes deployed to the development environment.,Customer Reply,Public,2024-10-21 07:34:48,Yes,Neutral,5
CMT000067,TASK-15957,EMP064,Investigating the issue reported by the customer.,Customer Reply,Public,2026-02-18 14:38:25,Yes,Negative,1
CMT000068,TASK-14405,EMP230,Investigating the issue reported by the customer.,Deployment,Internal,2026-03-14 00:31:38,Yes,Negative,8
CMT000069,TASK-12299,EMP125,Customer confirmed the fix.,Investigation,Public,2025-10-19 14:10:46,No,Positive,5
