Task_ID,Task_Title,Task_Description,Category,Priority,Status,Project_Name,Module,Sprint,Story_Points,Created_Date,Due_Date,Estimated_Hours,Actual_Hours,Assigned_To,Environment,Severity,Labels,SLA_Hours,Completion_Status
TASK-10001,Support: Investigate Payments,House answer start behind old travel Democrat beat industry drive necessary arrive not water.,Support,Medium,Review,Apollo,Security,Sprint 7,1,2025-03-02,2025-03-08,2,1,EMP020,Development,Minor,support,96,Yes
TASK-10002,Documentation: Implement UI,Way officer however wish another teach face certain brother final staff Congress ok police head natural artist arrive day quite into fire one law.,Documentation,Medium,Open,Vertex,Authentication,Sprint 8,1,2025-10-12,2025-10-16,2,1,EMP024,Production,Minor,documentation,48,No
TASK-10003,Enhancement: Fix UI,Recognize each off modern themselves role explain woman brother individual serious charge major always.,Enhancement,Low,Completed,Nova,Reporting,Sprint 4,3,2025-02-13,2025-03-04,6,6,EMP281,Production,Minor,enhancement,24,Yes
TASK-10004,UI/UX: Improve Notifications,Of then finish receive organization oil lay style war listen professional art reduce positive year state expect history protect against left collection bring.,UI/UX,Medium,Completed,Titan,Reporting,Sprint 10,8,2025-11-09,2025-11-17,16,20,EMP128,Development,Minor,ui-ux,48,No
TASK-10005,Testing: Improve UI,Can easy hospital the ball last near third standard tell everything indeed grow this whatever character computer.,Testing,Medium,Open,Phoenix,Security,Sprint 14,3,2024-08-21,2024-09-08,6,11,EMP085,UAT,Minor,testing,48,Yes
TASK-10006,DevOps: Improve Reporting,Activity store consumer example certainly movement particular five by teacher wear pressure science lead that weight.,DevOps,Critical,Completed,Titan,UI,Sprint 15,1,2024-12-25,2024-12-28,2,5,EMP036,Development,Critical,devops,72,Yes
TASK-10007,Feature: Improve ETL,Hot human billion plant artist attack decade class future apply a character big hair agent them pass chance edge girl hair but support.,Feature,High,Blocked,Helios,Authentication,Sprint 15,3,2025-11-18,2025-11-21,6,11,EMP182,Development,Major,feature,24,Yes
TASK-10008,Documentation: Update ETL,Lose find century see science long reality might day weight gun real trial serve fear poor before suddenly million traditional green.,Documentation,Medium,Testing,Phoenix,Dashboard,Sprint 15,13,2026-07-04,2026-07-30,26,27,EMP206,Production,Minor,documentation,72,Yes
TASK-10009,DevOps: Improve ETL,Single form development specific world system south stand science dinner military green ahead agreement evidence else realize what language view write western half.,DevOps,Medium,In Progress,Atlas,Payments,Sprint 6,13,2024-12-18,2025-01-16,26,30,EMP078,Development,Minor,devops,48,No
TASK-10010,UI/UX: Update Security,Like front lot world particular ability training general poor strong build home represent current threat its.,UI/UX,Medium,Review,Helios,Dashboard,Sprint 23,1,2024-12-17,2024-12-24,2,2,EMP440,Production,Minor,ui-ux,24,Yes
TASK-10011,Data Engineering: Update ETL,Song will how husband water right color camera character toward southern certainly.,Data Engineering,Medium,Open,Nova,Payments,Sprint 7,5,2025-10-16,2025-10-30,10,9,EMP226,Development,Minor,data engineering,24,No
TASK-10012,Bug: Fix API,Price go nature capital add wife power money value its the step decision edge fall drive only else industry capital travel.,Bug,High,Completed,Vertex,Dashboard,Sprint 21,3,2026-03-05,2026-03-10,6,4,EMP130,UAT,Major,bug,72,Yes
TASK-10013,Feature: Update Database,Production spring might still there candidate charge member their simply part simply change center people build article radio most lot simply.,Feature,Medium,Open,Atlas,Payments,Sprint 24,5,2025-03-24,2025-04-22,10,15,EMP176,Production,Minor,feature,72,Yes
TASK-10014,Enhancement: Implement Security,Eat everybody sign medical no service tree kitchen partner measure mention realize.,Enhancement,Low,Open,Mercury,Payments,Sprint 23,8,2026-04-15,2026-05-03,16,19,EMP433,UAT,Minor,enhancement,72,Yes
TASK-10015,Support: Implement UI,Southern meet easy model then until type throughout dark language indicate hot firm provide into defense few business since vote poor hand education.,Support,Medium,In Progress,Nova,ETL,Sprint 24,8,2025-06-04,2025-06-30,16,19,EMP412,Development,Minor,support,48,Yes
TASK-10016,Support: Update Database,Detail weight huge maintain wrong strategy claim it middle fund cultural five reveal affect network key adult former perhaps mention ask.,Support,Low,In Progress,Helios,Notifications,Sprint 24,1,2024-10-17,2024-11-11,2,4,EMP179,UAT,Minor,support,24,No
TASK-10017,Documentation: Investigate UI,Will bit enter always single establish can institution treat standard else change try number red become.,Documentation,Medium,Open,Titan,Reporting,Sprint 21,2,2026-06-29,2026-07-16,4,9,EMP044,Production,Minor,documentation,24,Yes
TASK-10018,Documentation: Fix ETL,Interesting authority voice play soon base task at television law fund network unit environmental.,Documentation,High,Testing,Vertex,Payments,Sprint 24,5,2024-08-20,2024-09-06,10,13,EMP082,Development,Major,documentation,48,No
TASK-10019,UI/UX: Investigate UI,Remember visit wide energy Congress usually pick most day knowledge public establish sound yes already adult measure within method early language probably.,UI/UX,Medium,Testing,Helios,Dashboard,Sprint 18,13,2024-10-11,2024-11-10,26,26,EMP281,Development,Minor,ui-ux,24,No
TASK-10020,Feature: Implement API,National thousand wife film Democrat director cup think rock cause writer word student add personal they issue area professor herself media wife.,Feature,High,Open,Mercury,API,Sprint 10,2,2025-10-27,2025-11-14,4,8,EMP257,Development,Major,feature,72,No
TASK-10021,DevOps: Update UI,And continue especially about hair forget world food alone think design consumer friend base everything pretty easy.,DevOps,Low,Completed,Vertex,Security,Sprint 5,13,2025-09-19,2025-10-17,26,29,EMP273,Development,Minor,devops,24,Yes
TASK-10022,Enhancement: Implement Notifications,Enough bed human among against fight do one more seek price respond.,Enhancement,Low,Completed,Phoenix,Security,Sprint 2,2,2026-01-27,2026-02-17,4,4,EMP167,Production,Minor,enhancement,96,Yes
TASK-10023,Feature: Improve Authentication,Share result management exist peace certain station resource message investment red measure travel send nothing spend administration rather something.,Feature,Medium,Open,Titan,Security,Sprint 1,2,2026-04-12,2026-05-12,4,5,EMP390,Development,Minor,feature,96,No
TASK-10024,Data Engineering: Update Security,Be among PM where heavy later anything affect mother each enough lead audience usually today begin.,Data Engineering,Medium,Completed,Titan,Security,Sprint 8,13,2025-12-10,2025-12-31,26,28,EMP358,Production,Minor,data engineering,72,Yes
TASK-10025,Documentation: Update Notifications,Edge avoid enter role day science wish management him look raise short pay poor back challenge effect sea fight nothing actually.,Documentation,Medium,Review,Phoenix,API,Sprint 14,5,2025-07-28,2025-08-25,10,9,EMP038,Development,Minor,documentation,72,Yes
TASK-10026,Enhancement: Improve Dashboard,Win between design majority remember experience letter short year near find beat list face baby media.,Enhancement,High,Testing,Nova,Payments,Sprint 13,3,2024-08-22,2024-09-15,6,6,EMP454,UAT,Major,enhancement,48,Yes
TASK-10027,Documentation: Improve ETL,Hit trouble us avoid bed section energy growth owner place evidence both half marriage then hour.,Documentation,High,In Progress,Helios,Reporting,Sprint 3,8,2026-07-06,2026-07-13,16,20,EMP370,UAT,Major,documentation,24,No
TASK-10028,Security: Investigate UI,Race if road indicate heavy building former foot full huge vote cultural activity science education assume hope thank baby understand sense.,Security,High,Review,Phoenix,Payments,Sprint 8,5,2024-11-02,2024-11-18,10,13,EMP498,Development,Major,security,24,No
TASK-10029,Bug: Update Dashboard,Big strong experience very economic entire memory couple health what this speech piece tree wait near rest.,Bug,High,Completed,Titan,Reporting,Sprint 3,5,2026-03-25,2026-04-24,10,12,EMP143,Development,Major,bug,48,Yes
TASK-10030,Feature: Improve Payments,Late sell popular experience any unit camera line gas fear school wish employee pretty feeling newspaper hour cold claim debate.,Feature,Critical,Completed,Nova,Payments,Sprint 9,13,2024-08-14,2024-08-24,26,25,EMP442,Development,Critical,feature,96,No
TASK-10031,Data Engineering: Fix Security,Nearly laugh four service into natural each company new floor happy speak dark after that him second decide establish sell marriage off.,Data Engineering,Critical,Blocked,Nova,Payments,Sprint 6,3,2026-05-02,2026-05-17,6,6,EMP135,Development,Critical,data engineering,48,No
TASK-10032,Testing: Update Security,More so support begin to his position it find sport whose camera interesting shake sound why majority available us up month life.,Testing,Medium,Blocked,Atlas,Database,Sprint 12,2,2025-03-29,2025-04-20,4,6,EMP412,Development,Minor,testing,72,No
TASK-10033,Bug: Implement Notifications,Difference charge will board stay red suffer thus be since ability call notice.,Bug,Medium,Open,Vertex,Notifications,Sprint 18,8,2025-06-02,2025-06-27,16,21,EMP428,UAT,Minor,bug,72,Yes
TASK-10034,Documentation: Update Reporting,While phone month join shake between feel want court end so ability Mr you everything first style.,Documentation,Medium,Open,Atlas,Authentication,Sprint 3,13,2024-08-05,2024-08-17,26,26,EMP321,Production,Minor,documentation,72,Yes
TASK-10035,Bug: Improve Authentication,Doctor east whether relate film against marriage purpose information either property understand dinner alone full inside radio cup someone school measure day.,Bug,Critical,Testing,Atlas,Dashboard,Sprint 9,8,2025-01-02,2025-01-06,16,17,EMP229,Development,Critical,bug,72,Yes
TASK-10036,Support: Implement Reporting,She create let enter threat board perhaps particular to machine travel argue organization two approach age other.,Support,Medium,In Progress,Apollo,Reporting,Sprint 13,1,2026-06-17,2026-07-06,2,4,EMP043,UAT,Minor,support,72,Yes
TASK-10037,Documentation: Improve Payments,Contain last Republican fire both bag close course present modern life find.,Documentation,Medium,In Progress,Vertex,UI,Sprint 2,1,2025-05-08,2025-05-17,2,1,EMP202,Development,Minor,documentation,72,No
TASK-10038,Documentation: Investigate ETL,World kind board back ball information those night serve herself shoulder final sound because relate cultural must land follow.,Documentation,Medium,Review,Titan,Dashboard,Sprint 10,8,2025-12-21,2025-12-25,16,16,EMP371,Production,Minor,documentation,48,No
TASK-10039,Data Engineering: Investigate Security,Air improve speech short American alone artist turn either section together fund evening whatever pay energy respond first every about sense.,Data Engineering,Medium,Completed,Apollo,UI,Sprint 23,13,2025-12-29,2026-01-20,26,26,EMP350,Production,Minor,data engineering,48,No
TASK-10040,Bug: Investigate Authentication,Agency doctor little whatever west hit economy involve management up consumer sort.,Bug,High,Blocked,Apollo,Security,Sprint 22,5,2026-05-09,2026-05-15,10,15,EMP126,UAT,Major,bug,72,No
TASK-10041,Feature: Investigate Payments,Parent foreign floor gun site bad culture send easy ask almost need for woman.,Feature,Critical,Blocked,Titan,Database,Sprint 3,8,2025-12-30,2026-01-24,16,15,EMP434,UAT,Critical,feature,48,Yes
TASK-10042,Documentation: Update Payments,Enter base benefit material report language doctor indicate per purpose security suggest.,Documentation,High,Testing,Mercury,Authentication,Sprint 20,5,2026-04-15,2026-04-24,10,15,EMP324,Production,Major,documentation,48,No
TASK-10043,Enhancement: Investigate UI,Sister family evidence environment effect employee keep control dog example traditional could ask.,Enhancement,Medium,In Progress,Apollo,Notifications,Sprint 2,13,2025-11-06,2025-11-18,26,28,EMP249,UAT,Minor,enhancement,24,Yes
TASK-10044,Security: Update Notifications,Medical discuss space president yard bill listen standard subject trial American family budget couple win on.,Security,High,Open,Nova,Database,Sprint 3,3,2025-01-08,2025-01-19,6,11,EMP480,UAT,Major,security,24,No
TASK-10045,Feature: Update API,Mention concern owner simple professor according PM report glass also future analysis yourself although rule trial spring standard important.,Feature,Medium,In Progress,Phoenix,UI,Sprint 3,5,2026-05-19,2026-06-16,10,12,EMP073,Production,Minor,feature,72,Yes
TASK-10046,Enhancement: Fix Reporting,Fine data somebody nature as big house nearly police before clear receive important exist film well fine note ground indicate ten you hair culture road.,Enhancement,High,In Progress,Titan,Notifications,Sprint 13,8,2025-04-06,2025-04-27,16,18,EMP013,Development,Major,enhancement,24,Yes
TASK-10047,Security: Improve ETL,Its church box bed official half significant candidate appear central.,Security,Medium,Review,Phoenix,Reporting,Sprint 1,2,2024-12-04,2024-12-18,4,8,EMP167,UAT,Minor,security,96,No
