Sprint_ID,Sprint_Name,Project_ID,Start_Date,End_Date,Sprint_Goal,Status,Scrum_Master,Team_Size,Planned_Story_Points,Completed_Story_Points,Velocity,Bug_Count,Feature_Count,Completion_Percentage,Retrospective_Summary
SPR001,Sprint 1,PRJ016,2025-11-15,2025-11-28,Fix critical production bugs,Cancelled,EMP178,14,91,78,39.0,18,14,85.7,Scope increased during sprint execution.
SPR002,Sprint 2,PRJ034,2025-11-29,2025-12-12,Complete data pipeline,Completed,EMP496,13,146,86,43.0,3,25,58.9,Excellent collaboration across teams.
SPR003,Sprint 3,PRJ080,2025-12-13,2025-12-26,Fix critical production bugs,Planned,EMP472,11,85,78,39.0,3,39,91.8,Additional testing required before release.
SPR004,Sprint 4,PRJ013,2025-12-27,2026-01-09,Complete data pipeline,Planned,EMP051,18,179,98,49.0,24,30,54.7,Additional testing required before release.
SPR005,Sprint 5,PRJ074,2026-01-10,2026-01-23,Improve dashboard performance,Cancelled,EMP120,8,248,162,81.0,25,18,65.3,Additional testing required before release.
SPR006,Sprint 6,PRJ018,2026-01-24,2026-02-06,Enhance security features,Planned,EMP281,19,129,81,40.5,0,34,62.8,Additional testing required before release.
SPR007,Sprint 7,PRJ067,2026-02-07,2026-02-20,Enhance security features,Cancelled,EMP189,18,232,131,65.5,17,16,56.5,Sprint completed successfully.
SPR008,Sprint 8,PRJ004,2026-02-21,2026-03-06,Enhance security features,Cancelled,EMP232,8,142,82,41.0,21,21,57.7,Minor delays due to dependency issues.
SPR009,Sprint 9,PRJ058,2026-03-07,2026-03-20,Complete data pipeline,Completed,EMP377,10,201,136,68.0,14,33,67.7,Excellent collaboration across teams.
SPR010,Sprint 10,PRJ010,2026-03-21,2026-04-03,Fix critical production bugs,Completed,EMP352,18,158,84,42.0,3,34,53.2,Sprint completed successfully.
SPR011,Sprint 11,PRJ058,2026-04-04,2026-04-17,Complete authentication module,Active,EMP224,13,199,163,81.5,2,10,81.9,Minor delays due to dependency issues.
SPR012,Sprint 12,PRJ037,2026-04-18,2026-05-01,Enhance security features,Planned,EMP104,20,123,88,44.0,21,9,71.5,Additional testing required before release.
SPR013,Sprint 13,PRJ082,2026-05-02,2026-05-15,Improve dashboard performance,Planned,EMP450,17,246,244,122.0,19,23,99.2,Sprint completed successfully.
SPR014,Sprint 14,PRJ076,2026-05-16,2026-05-29,Deploy cloud infrastructure,Completed,EMP108,13,225,181,90.5,16,25,80.4,Sprint completed successfully.
SPR015,Sprint 15,PRJ084,2026-05-30,2026-06-12,Fix critical production bugs,Planned,EMP101,14,86,60,30.0,16,34,69.8,Scope increased during sprint execution.
SPR016,Sprint 16,PRJ066,2026-06-13,2026-06-26,Implement reporting module,Completed,EMP329,14,114,77,38.5,20,37,67.5,Scope increased during sprint execution.
