Attachment_ID,Task_ID,Uploaded_By,Attachment_Type,File_Name,File_Size_KB,Uploaded_Date,Version,Description,Download_Count
ATT000001,TASK-18637,EMP482,Log File,log_file_1.log,4095,2024-09-25,v3.4,Log File uploaded for task verification.,37
ATT000002,TASK-11190,EMP338,Configuration File,configuration_file_2.yaml,7418,2025-12-04,v3.7,Configuration File uploaded for task verification.,87
ATT000003,TASK-16500,EMP202,CSV File,csv_file_3.csv,1989,2025-10-28,v3.3,CSV File uploaded for task verification.,40
ATT000004,TASK-14267,EMP185,Database Script,database_script_4.sql,8508,2026-05-27,v2.2,Database Script uploaded for task verification.,70
ATT000005,TASK-14512,EMP085,Video Recording,video_recording_5.mp4,223,2025-01-23,v1.1,Video Recording uploaded for task verification.,76
ATT000006,TASK-10456,EMP043,Database Script,database_script_6.sql,4540,2025-01-11,v2.6,Database Script uploaded for task verification.,51
ATT000007,TASK-17187,EMP459,Architecture Diagram,architecture_diagram_7.png,10003,2025-12-27,v1.1,Architecture Diagram uploaded for task verification.,74
ATT000008,TASK-15968,EMP093,Architecture Diagram,architecture_diagram_8.png,1601,2025-11-02,v4.8,Architecture Diagram uploaded for task verification.,86
ATT000009,TASK-14438,EMP232,Design Document,design_document_9.docx,3624,2025-02-15,v4.4,Design Document uploaded for task verification.,64
ATT000010,TASK-11679,EMP063,API Specification,api_specification_10.pdf,1516,2025-11-21,v3.4,API Specification uploaded for task verification.,15
ATT000011,TASK-12650,EMP380,Screenshot,screenshot_11.png,6798,2025-04-24,v1.8,Screenshot uploaded for task verification.,75
ATT000012,TASK-16967,EMP246,Log File,log_file_12.log,2808,2026-01-28,v5.6,Log File uploaded for task verification.,58
ATT000013,TASK-17945,EMP236,API Specification,api_specification_13.pdf,7210,2024-10-03,v4.9,API Specification uploaded for task verification.,12
ATT000014,TASK-17775,EMP202,API Specification,api_specification_14.pdf,3920,2024-12-19,v4.9,API Specification uploaded for task verification.,62
ATT000015,TASK-19325,EMP074,Log File,log_file_15.log,8062,2026-04-28,v3.9,Log File uploaded for task verification.,56
ATT000016,TASK-16647,EMP484,Screenshot,screenshot_16.png,6982,2025-03-27,v1.5,Screenshot uploaded for task verification.,90
ATT000017,TASK-16029,EMP481,Architecture Diagram,architecture_diagram_17.png,7767,2025-01-15,v3.5,Architecture Diagram uploaded for task verification.,38
ATT000018,TASK-13092,EMP022,PDF Document,pdf_document_18.pdf,9223,2026-02-16,v4.4,PDF Document uploaded for task verification.,12
ATT000019,TASK-11603,EMP018,Test Report,test_report_19.pdf,3202,2025-10-13,v3.0,Test Report uploaded for task verification.,0
ATT000020,TASK-18302,EMP145,Architecture Diagram,architecture_diagram_20.png,8595,2024-10-26,v3.4,Architecture Diagram uploaded for task verification.,14
ATT000021,TASK-12396,EMP397,Screenshot,screenshot_21.png,3311,2025-08-16,v1.3,Screenshot uploaded for task verification.,32
ATT000022,TASK-18203,EMP136,CSV File,csv_file_22.csv,3038,2025-11-06,v2.3,CSV File uploaded for task verification.,77
ATT000023,TASK-15440,EMP150,Video Recording,video_recording_23.mp4,6091,2024-11-06,v1.8,Video Recording uploaded for task verification.,76
ATT000024,TASK-12593,EMP261,Configuration File,configuration_file_24.yaml,3283,2025-10-28,v3.7,Configuration File uploaded for task verification.,49
ATT000025,TASK-16358,EMP280,Design Document,design_document_25.docx,9120,2024-10-06,v3.7,Design Document uploaded for task verification.,78
ATT000026,TASK-14052,EMP330,Screenshot,screenshot_26.png,7085,2025-03-12,v4.5,Screenshot uploaded for task verification.,11
ATT000027,TASK-11692,EMP067,API Specification,api_specification_27.pdf,3337,2024-09-07,v1.2,API Specification uploaded for task verification.,27
ATT000028,TASK-17980,EMP230,API Specification,api_specification_28.pdf,2109,2024-12-05,v5.6,API Specification uploaded for task verification.,6
ATT000029,TASK-11743,EMP132,JSON File,json_file_29.json,6089,2026-06-23,v5.6,JSON File uploaded for task verification.,53
ATT000030,TASK-17289,EMP114,Error Report,error_report_30.txt,1526,2025-04-30,v2.2,Error Report uploaded for task verification.,18
ATT000031,TASK-13638,EMP332,Screenshot,screenshot_31.png,5841,2026-07-03,v5.8,Screenshot uploaded for task verification.,90
ATT000032,TASK-19469,EMP209,Screenshot,screenshot_32.png,7724,2025-05-25,v3.7,Screenshot uploaded for task verification.,41
ATT000033,TASK-11257,EMP443,Deployment Log,deployment_log_33.log,6038,2025-09-26,v1.8,Deployment Log uploaded for task verification.,12
ATT000034,TASK-11124,EMP219,Deployment Log,deployment_log_34.log,1937,2026-04-07,v1.2,Deployment Log uploaded for task verification.,8
ATT000035,TASK-15001,EMP023,Screenshot,screenshot_35.png,2264,2025-11-23,v4.9,Screenshot uploaded for task verification.,19
ATT000036,TASK-17368,EMP240,Screenshot,screenshot_36.png,8164,2024-09-28,v5.0,Screenshot uploaded for task verification.,37
ATT000037,TASK-14448,EMP128,Log File,log_file_37.log,4668,2025-09-12,v5.8,Log File uploaded for task verification.,0
